index,facility_name,source_facility_type,odhf_facility_type,provider,unit,street_no,street_name,postal_code,city,province
1,advanced facial & nasal surgery centre,active acute hospital,Hospitals,Canadian Institute for Health Information,,,,T5M4G5,edmonton,ab
2,beverly centre glenmore,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T2V4S1,calgary,ab
3,beverly centre lake midnapore,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T2X3S3,calgary,ab
4,sagewood seniors community inc,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T1P0E2,strathmore,ab
5,seton,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T3M2M3,calgary,ab
6,skypointe,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T3N0Y7,calgary,ab
7,valleyview,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T1A7K5,medicine hat,ab
8,walden heights seniors community,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T2X0V1,calgary,ab
9,airdrie community health centre,active acute hospital,Hospitals,Canadian Institute for Health Information,,,,T4B3K7,airdrie,ab
10,alberta children's hospital,pediatric,Hospitals,Public Health Agency of Canada,,2888,shaganappi trail nw,T3B6A8,calgary,ab
11,alberta hip and knee clinic,other,Ambulatory health care services,Canadian Institute for Health Information,,,,T5E5R8,edmonton,ab
12,alberta hospital edmonton,psychiatric,Hospitals,Public Health Agency of Canada,,17480,fort rd,T5J2J7,edmonton,ab
13,alberta surgical centre,active acute hospital,Hospitals,Canadian Institute for Health Information,,,,T5M3Z7,edmonton,ab
14,allen gray continuing care centre,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T6L7G1,edmonton,ab
15,athabasca healthcare centre,general,Hospitals,Public Health Agency of Canada,,3100,48 ave,T9S1M9,athabasca,ab
16,audrey chan professional corporation,active acute hospital,Hospitals,Canadian Institute for Health Information,,,,T5J3S9,edmonton,ab
17,barrhead community cancer centre,,Hospitals,Province of Alberta,,4815,51 avenue,T7N1M1,barrhead,ab
18,barrhead healthcare centre,general,Hospitals,Public Health Agency of Canada,,4815,51 ave,T7N1M1,barrhead,ab
19,barry lycka md cosmetic dermatologist,active acute hospital,Hospitals,Canadian Institute for Health Information,,,,T5J3S9,edmonton,ab
20,bashaw care centre,active acute hospital,Hospitals,Canadian Institute for Health Information,,,,T0B0H0,bashaw,ab
21,bassano health centre,general,Hospitals,Public Health Agency of Canada,,608,5 ave,T0J0B0,bassano,ab
22,beaverlodge municipal hospital,general,Hospitals,Public Health Agency of Canada,,422,10a st,T0H0C0,beaverlodge,ab
23,bentley care centre,extended care,Hospitals,Public Health Agency of Canada,,4834,52 ave,T0C0J0,bentley,ab
24,bethany care society — bethany airdrie,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T4B2C4,airdrie,ab
25,bethany care society — bethany calgary,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T2N1C6,calgary,ab
26,bethany care society — bethany cochrane,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T4C1X9,cochrane,ab
27,bethany care society — bethany collegeside,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T4R0M3,red deer,ab
28,bethany care society — bethany harvest hills,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T3K4Y1,calgary,ab
29,bethany care society — bethany riverview,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T2B2W6,calgary,ab
30,bethany care society — bethany sylvan lake,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T4S2M3,sylvan lake,ab
31,big country health centre,general,Hospitals,Public Health Agency of Canada,,312,3 ave e,T0J2J0,oyen,ab
32,big country hospital,,Hospitals,Province of Alberta,,312,3 avenue e,T0J2J0,oyen,ab
33,bonnyville community cancer centre,,Hospitals,Province of Alberta,,,,T9N2J7,bonnyville,ab
34,bonnyville health centre,general,Hospitals,Public Health Agency of Canada,,5001,lakeshore dr,T9N2J7,bonnyville,ab
35,bonnyville healthcare centre,,Ambulatory health care services,Province of Alberta,,5001,lakeshore drive,T9N2J7,bonnyville,ab
36,bow island health centre,general,Hospitals,Public Health Agency of Canada,,938,centre st,T0K0G0,bow island,ab
37,bow valley community cancer centre,,Hospitals,Province of Alberta,,1100,hospital place,T1W1N2,canmore,ab
38,boyle healthcare centre,,Hospitals,Canadian Institute for Health Information,,5004,lakeview road,T0A0M0,boyle,ab
39,boyle mccauley health centre,general,Hospitals,Public Health Agency of Canada,,10628,96 st,T0A0M0,edmonton,ab
40,breton health centre,extended care,Hospitals,Public Health Agency of Canada,,4919,49 ave,T0C0P0,breton,ab
41,brooks health centre,general,Hospitals,Public Health Agency of Canada,,440,3 st e,T1R1B3,brooks,ab
42,calgary retina consultants,active acute hospital,Ambulatory health care services,Canadian Institute for Health Information,,,,T3E7M8,calgary,ab
43,camrose community cancer centre,,Hospitals,Province of Alberta,,4607,53 street,T4V1Y5,camrose,ab
44,canmore general hospital,general,Hospitals,Public Health Agency of Canada,,1100,hospital place,T1W1N2,canmore,ab
45,capitalcare — dickinsfield,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T5E6C6,edmonton,ab
46,capitalcare — grandview,long term care,Hospitals,Canadian Institute for Health Information,,,,T6H3V1,edmonton,ab
47,capitalcare — lynnwood,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T5R2R8,edmonton,ab
48,capitalcare — norwood,long term care,Hospitals,Canadian Institute for Health Information,,,,T5G3A2,edmonton,ab
49,capitalcare — strathcona,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T8H1V3,sherwood park,ab
50,capitalcare — the dianne and irving kipnes centre for veterans,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T5E6M8,edmonton,ab
51,cardston health centre,general,Hospitals,Public Health Agency of Canada,,144,2 st w,T0K0K0,cardston,ab
52,carewest — colonel belcher,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T3B5Y8,calgary,ab
53,carewest — dr. vernon fanning centre,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T2E6V7,calgary,ab
54,carewest — garrison green,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T3E6Z5,calgary,ab
55,carewest — george boyack,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T2E0A5,calgary,ab
56,carewest — glenmore park,active acute hospital,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T2V1P8,calgary,ab
57,carewest — rouleau manor,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T2S3C3,calgary,ab
58,carewest — royal park,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T3E7J8,calgary,ab
59,carewest — sarcee,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T3E4T4,calgary,ab
